OG_name	busco_name	Dis_gene_name	Dis_del_num	Did_gene_name	Did_del_num
OG0013419	101717at71240.faa	evm.model.HIC_ASM_2.3450	0	evm.model.HIC_ASM_8.3900	2
OG0007890	101759at71240.faa	evm.model.HIC_ASM_5.4102	1	evm.model.HIC_ASM_6.72	1
OG0009489	101787at71240.faa	evm.model.HIC_ASM_6.3720.2	0	evm.model.HIC_ASM_7.4012.1	0
OG0016051	101801at71240.faa	evm.model.HIC_ASM_1.1220	3	evm.model.HIC_ASM_0.5031	1
OG0011135	101845at71240.faa	evm.model.HIC_ASM_4.898	3	evm.model.HIC_ASM_5.2792	4
OG0008356	10197at71240.faa	evm.model.HIC_ASM_3.2136.1	23	evm.model.HIC_ASM_3.2573	15
OG0012137	102083at71240.faa	evm.model.HIC_ASM_4.2756.1	9	evm.model.HIC_ASM_2.2628	10
OG0016754	102169at71240.faa	evm.model.HIC_ASM_0.1193	2	evm.model.HIC_ASM_8.1728	3
OG0015600	102186at71240.faa	evm.model.HIC_ASM_0.3339	6	evm.model.HIC_ASM_1.2510	7
OG0009715	102296at71240.faa	evm.model.HIC_ASM_7.3241	5	evm.model.HIC_ASM_4.4939	7
OG0016719	102324at71240.faa	evm.model.HIC_ASM_0.1311	2	evm.model.HIC_ASM_8.1979.1	0
OG0009695	102455at71240.faa	evm.model.HIC_ASM_7.3289	5	evm.model.HIC_ASM_4.4998	8
OG0009226	102466at71240.faa	evm.model.HIC_ASM_6.2004	6	evm.model.HIC_ASM_7.2450	4
OG0016791	102474at71240.faa	evm.model.HIC_ASM_0.1085	2	evm.model.HIC_ASM_8.1585.2	2
OG0012315	102513at71240.faa	evm.model.HIC_ASM_1.4360	4	evm.model.HIC_ASM_4.908	5
OG0011582	102574at71240.faa	evm.model.HIC_ASM_2.209	5	evm.model.HIC_ASM_2.4612	4
OG0010911	102624at71240.faa	evm.model.HIC_ASM_4.1455.2	0	evm.model.HIC_ASM_5.3936	5
OG0011268	102640at71240.faa	evm.model.HIC_ASM_4.546	1	evm.model.HIC_ASM_1.771	1
OG0010253	102816at71240.faa	evm.model.HIC_ASM_7.1662	1	evm.model.HIC_ASM_4.2656	5
OG0010839	10314at71240.faa	evm.model.HIC_ASM_2.1015	6	evm.model.HIC_ASM_5.4097	2
OG0016948	103214at71240.faa	evm.model.HIC_ASM_0.617	4	evm.model.HIC_ASM_8.942.1	4
OG0007719	103368at71240.faa	evm.model.HIC_ASM_5.3622	6	evm.model.HIC_ASM_6.601	5
OG0011390	103378at71240.faa	evm.model.HIC_ASM_4.243	5	evm.model.HIC_ASM_1.353	4
OG0016949	103381at71240.faa	evm.model.HIC_ASM_0.616	9	evm.model.HIC_ASM_8.943	9
OG0015692	103382at71240.faa	evm.model.HIC_ASM_1.68	5	evm.model.HIC_ASM_0.3927	5
OG0015755	10338at71240.faa	evm.model.HIC_ASM_1.260	7	evm.model.HIC_ASM_0.4118	6
OG0015156	103690at71240.faa	evm.model.HIC_ASM_0.4812	1	evm.model.HIC_ASM_1.3955.1	4
OG0016507	103721at71240.faa	evm.model.HIC_ASM_0.2599	3	evm.model.HIC_ASM_1.1263	4
OG0007907	103739at71240.faa	evm.model.HIC_ASM_5.4127	2	evm.model.HIC_ASM_6.39	3
OG0016452	103782at71240.faa	evm.model.HIC_ASM_0.2115	7	evm.model.HIC_ASM_3.4094	6
OG0012267	103801at71240.faa	evm.model.HIC_ASM_4.3568	4	evm.model.HIC_ASM_2.248	3
OG0009485	104389at71240.faa	evm.model.HIC_ASM_6.3692	6	evm.model.HIC_ASM_7.4050	6
OG0011565	104482at71240.faa	evm.model.HIC_ASM_2.178	0	evm.model.HIC_ASM_2.4644	10
OG0008526	104541at71240.faa	evm.model.HIC_ASM_3.1294.1	2	evm.model.HIC_ASM_3.1636	2
OG0010133	104652at71240.faa	evm.model.HIC_ASM_7.2115	6	evm.model.HIC_ASM_4.2330	7
OG0006856	104716at71240.faa	evm.model.HIC_ASM_8.610	7	evm.model.HIC_ASM_5.668	8
OG0010083	104809at71240.faa	evm.model.HIC_ASM_7.2275	3	evm.model.HIC_ASM_4.3687	3
OG0013401	104876at71240.faa	evm.model.HIC_ASM_2.3480	6	evm.model.HIC_ASM_8.3926	3
OG0016742	104911at71240.faa	evm.model.HIC_ASM_0.1226	3	evm.model.HIC_ASM_8.1762	5
OG0014217	105101at71240.faa	evm.model.HIC_ASM_9.1927	8	evm.model.HIC_ASM_0.1732.2	6
OG0009535	105234at71240.faa	evm.model.HIC_ASM_7.3728.1	4	evm.model.HIC_ASM_4.5591.1	5
OG0016770	105246at71240.faa	evm.model.HIC_ASM_0.1151	3	evm.model.HIC_ASM_8.1692	3
OG0016088	105274at71240.faa	evm.model.HIC_ASM_1.1332	3	evm.model.HIC_ASM_4.3461	6
OG0007737	105363at71240.faa	evm.model.HIC_ASM_5.3680	9	evm.model.HIC_ASM_6.530	6
OG0014672	105398at71240.faa	evm.model.HIC_ASM_9.2967	1	evm.model.HIC_ASM_4.301	1
OG0017516	105445at71240.faa	evm.model.HIC_ASM_8.2111	4	evm.model.HIC_ASM_5.2350	4
OG0010865	105531at71240.faa	evm.model.HIC_ASM_4.1562	2	evm.model.HIC_ASM_5.3694	1
OG0012870	10599at71240.faa	evm.model.HIC_ASM_1.4527	16	evm.model.HIC_ASM_4.1217	13
OG0007905	106145at71240.faa	evm.model.HIC_ASM_5.4125.2	0	evm.model.HIC_ASM_6.41	7
OG0012437	10618at71240.faa	evm.model.HIC_ASM_1.4257	5	evm.model.HIC_ASM_4.1039	8
OG0012831	106267at71240.faa	evm.model.HIC_ASM_4.3310.1	3	evm.model.HIC_ASM_2.339	2
OG0014307	106450at71240.faa	evm.model.HIC_ASM_9.2148	4	evm.model.HIC_ASM_0.1250	0
OG0009104	106478at71240.faa	evm.model.HIC_ASM_6.1368	3	evm.model.HIC_ASM_7.1772.1	1
OG0013660	1064at71240.faa	evm.model.HIC_ASM_2.2498	28	evm.model.HIC_ASM_8.3251	22
OG0010619	106507at71240.faa	evm.model.HIC_ASM_7.28	4	evm.model.HIC_ASM_0.6052	3
OG0013952	106596at71240.faa	evm.model.HIC_ASM_9.1090	4	evm.model.HIC_ASM_0.2800	4
OG0010161	106602at71240.faa	evm.model.HIC_ASM_7.2009	4	evm.model.HIC_ASM_4.2442	4
OG0010078	10671at71240.faa	evm.model.HIC_ASM_7.2299	10	evm.model.HIC_ASM_4.3664	17
OG0016122	106913at71240.faa	evm.model.HIC_ASM_1.1439	0	evm.model.HIC_ASM_4.3269	1
OG0008064	107037at71240.faa	evm.model.HIC_ASM_3.3778	2	evm.model.HIC_ASM_3.811.1	3
OG0016731	107055at71240.faa	evm.model.HIC_ASM_0.1248	4	evm.model.HIC_ASM_8.2031	4
OG0007807	107143at71240.faa	evm.model.HIC_ASM_5.3820	3	evm.model.HIC_ASM_6.363	2
OG0017223	107166at71240.faa	evm.model.HIC_ASM_8.1665	3	evm.model.HIC_ASM_5.1835	3
OG0014773	107272at71240.faa	evm.model.HIC_ASM_9.3206	6	evm.model.HIC_ASM_4.21	7
OG0013434	107291at71240.faa	evm.model.HIC_ASM_2.3423	4	evm.model.HIC_ASM_8.3861	6
OG0015396	107304at71240.faa	evm.model.HIC_ASM_0.4231	2	evm.model.HIC_ASM_1.3271	5
OG0009008	107327at71240.faa	evm.model.HIC_ASM_6.833	8	evm.model.HIC_ASM_7.1265	8
OG0013518	107350at71240.faa	evm.model.HIC_ASM_2.3125	0	evm.model.HIC_ASM_8.3630	1
OG0017119	107481at71240.faa	evm.model.HIC_ASM_0.132	4	evm.model.HIC_ASM_8.219	3
OG0008327	107494at71240.faa	evm.model.HIC_ASM_3.2338	1	evm.model.HIC_ASM_3.2919	1
OG0015987	107496at71240.faa	evm.model.HIC_ASM_1.1079	3	evm.model.HIC_ASM_0.4894	4
OG0015669	107498at71240.faa	evm.model.HIC_ASM_1.17	0	evm.model.HIC_ASM_0.3862	2
OG0011040	107672at71240.faa	evm.model.HIC_ASM_4.1128	6	evm.model.HIC_ASM_5.3131	9
OG0007285	107881at71240.faa	evm.model.HIC_ASM_5.1951	1	evm.model.HIC_ASM_6.2152	0
OG0008102	108038at71240.faa	evm.model.HIC_ASM_3.3560	6	evm.model.HIC_ASM_3.1078.1	4
OG0009668	108194at71240.faa	evm.model.HIC_ASM_7.3358	5	evm.model.HIC_ASM_4.5094.1	6
OG0009192	108228at71240.faa	evm.model.HIC_ASM_6.1790	3	evm.model.HIC_ASM_7.2277	3
OG0008580	108259at71240.faa	evm.model.HIC_ASM_3.1102	5	evm.model.HIC_ASM_3.3803	8
OG0006688	108345at71240.faa	evm.model.HIC_ASM_8.159	0	evm.model.HIC_ASM_5.167	1
OG0013026	108356at71240.faa	evm.model.HIC_ASM_2.4506	4	evm.model.HIC_ASM_8.4841	5
OG0017637	10839at71240.faa	evm.model.HIC_ASM_8.2687	14	evm.model.HIC_ASM_8.2728	16
OG0016317	108435at71240.faa	evm.model.HIC_ASM_1.2529	8	evm.model.HIC_ASM_0.3581	5
OG0007376	108524at71240.faa	evm.model.HIC_ASM_5.2609.2	0	evm.model.HIC_ASM_6.1607	2
OG0009710	108717at71240.faa	evm.model.HIC_ASM_7.3251	2	evm.model.HIC_ASM_4.4945	6
OG0013153	108742at71240.faa	evm.model.HIC_ASM_2.4135	1	evm.model.HIC_ASM_8.4491	0
OG0013033	10881at71240.faa	evm.model.HIC_ASM_2.4499	13	evm.model.HIC_ASM_8.4834	10
OG0015970	108918at71240.faa	evm.model.HIC_ASM_1.985	5	evm.model.HIC_ASM_0.4843	7
OG0015303	109144at71240.faa	evm.model.HIC_ASM_0.4501	9	evm.model.HIC_ASM_1.3569	9
OG0007644	109254at71240.faa	evm.model.HIC_ASM_5.3424	3	evm.model.HIC_ASM_6.800	3
OG0011630	109408at71240.faa	evm.model.HIC_ASM_2.365	1	evm.model.HIC_ASM_2.4456	2
OG0011968	109614at71240.faa	evm.model.HIC_ASM_4.1902	0	evm.model.HIC_ASM_2.3464	0
OG0012658	109691at71240.faa	evm.model.HIC_ASM_1.3598.1	0	evm.model.HIC_ASM_2.928	0
OG0016627	10990at71240.faa	evm.model.HIC_ASM_0.1696	4	evm.model.HIC_ASM_8.2237.1	2
OG0012276	10at71240.faa	evm.model.HIC_ASM_4.3240	88	evm.model.HIC_ASM_0.3335	97
OG0015106	110007at71240.faa	evm.model.HIC_ASM_0.4924	6	evm.model.HIC_ASM_1.4085	7
OG0010216	110127at71240.faa	evm.model.HIC_ASM_7.1817	2	evm.model.HIC_ASM_4.2665	1
OG0014872	110265at71240.faa	evm.model.HIC_ASM_0.5503	0	evm.model.HIC_ASM_1.4660	0
OG0013810	110321at71240.faa	evm.model.HIC_ASM_9.225	3	evm.model.HIC_ASM_0.197	3
OG0009143	11042at71240.faa	evm.model.HIC_ASM_6.1499	7	evm.model.HIC_ASM_7.1971	10
OG0008603	110432at71240.faa	evm.model.HIC_ASM_3.1031	3	evm.model.HIC_ASM_3.3924.2	0
OG0017246	110468at71240.faa	evm.model.HIC_ASM_8.1527	3	evm.model.HIC_ASM_5.1676	3
OG0017160	110484at71240.faa	evm.model.HIC_ASM_8.1893	3	evm.model.HIC_ASM_5.2068	4
OG0014422	110548at71240.faa	evm.model.HIC_ASM_9.2369	2	evm.model.HIC_ASM_0.907	1
OG0008848	110565at71240.faa	evm.model.HIC_ASM_6.56.2	0	evm.model.HIC_ASM_7.30	6
OG0015637	110572at71240.faa	evm.model.HIC_ASM_0.3323	1	evm.model.HIC_ASM_1.2085	1
OG0009116	11057at71240.faa	evm.model.HIC_ASM_6.1409	8	evm.model.HIC_ASM_7.1942	10
OG0010930	110764at71240.faa	evm.model.HIC_ASM_4.1373.1	4	evm.model.HIC_ASM_5.4023	4
OG0009889	110801at71240.faa	evm.model.HIC_ASM_7.2871	6	evm.model.HIC_ASM_4.4427	6
OG0012105	110940at71240.faa	evm.model.HIC_ASM_4.2602	1	evm.model.HIC_ASM_2.2523	7
OG0010217	111407at71240.faa	evm.model.HIC_ASM_7.1793	1	evm.model.HIC_ASM_4.3137	2
OG0015556	111428at71240.faa	evm.model.HIC_ASM_0.3585	2	evm.model.HIC_ASM_1.2649	5
OG0012565	111468at71240.faa	evm.model.HIC_ASM_1.3889	3	evm.model.HIC_ASM_2.1613	3
OG0015449	111580at71240.faa	evm.model.HIC_ASM_0.4098.1	7	evm.model.HIC_ASM_1.3115.1	7
OG0015786	1115at71240.faa	evm.model.HIC_ASM_1.397.3	16	evm.model.HIC_ASM_0.4299	22
OG0014384	111853at71240.faa	evm.model.HIC_ASM_9.2300	0	evm.model.HIC_ASM_0.1040	3
OG0011018	111896at71240.faa	evm.model.HIC_ASM_4.1180	4	evm.model.HIC_ASM_5.3228	6
OG0007764	111942at71240.faa	evm.model.HIC_ASM_5.3736	1	evm.model.HIC_ASM_6.478	0
OG0016499	112199at71240.faa	evm.model.HIC_ASM_0.2634	4	evm.model.HIC_ASM_1.1517	1
OG0006697	112228at71240.faa	evm.model.HIC_ASM_8.178	4	evm.model.HIC_ASM_5.182	2
OG0008925	112253at71240.faa	evm.model.HIC_ASM_6.431	4	evm.model.HIC_ASM_7.675.1	2
OG0008449	112409at71240.faa	evm.model.HIC_ASM_3.1620	2	evm.model.HIC_ASM_3.2045	2
OG0017207	112492at71240.faa	evm.model.HIC_ASM_8.1714	5	evm.model.HIC_ASM_5.1884	3
OG0010181	112580at71240.faa	evm.model.HIC_ASM_7.1941	2	evm.model.HIC_ASM_4.2767	2
OG0017525	112604at71240.faa	evm.model.HIC_ASM_8.2198	2	evm.model.HIC_ASM_1.999.1	0
OG0011313	112753at71240.faa	evm.model.HIC_ASM_4.450	4	evm.model.HIC_ASM_1.613	5
OG0017076	112830at71240.faa	evm.model.HIC_ASM_0.281	9	evm.model.HIC_ASM_8.429	7
OG0008629	11295at71240.faa	evm.model.HIC_ASM_3.818	11	evm.model.HIC_ASM_3.4096	14
OG0011448	113068at71240.faa	evm.model.HIC_ASM_4.101	1	evm.model.HIC_ASM_1.155.1	4
OG0015588	113091at71240.faa	evm.model.HIC_ASM_0.3022	2	evm.model.HIC_ASM_8.2299	2
OG0011054	113174at71240.faa	evm.model.HIC_ASM_4.1090	5	evm.model.HIC_ASM_5.3065	5
OG0010912	113276at71240.faa	evm.model.HIC_ASM_4.1442	3	evm.model.HIC_ASM_1.219	2
OG0010844	11327at71240.faa	evm.model.HIC_ASM_2.1005	11	evm.model.HIC_ASM_5.4111	0
OG0013528	113355at71240.faa	evm.model.HIC_ASM_2.3100	2	evm.model.HIC_ASM_8.3606	2
OG0011319	113616at71240.faa	evm.model.HIC_ASM_4.412	0	evm.model.HIC_ASM_1.572.3	3
OG0010017	113849at71240.faa	evm.model.HIC_ASM_7.2486	3	evm.model.HIC_ASM_4.3960	2
OG0014844	11387at71240.faa	evm.model.HIC_ASM_0.5558	18	evm.model.HIC_ASM_1.4718	19
OG0007507	113983at71240.faa	evm.model.HIC_ASM_5.3035	1	evm.model.HIC_ASM_6.1202	2
OG0013566	113996at71240.faa	evm.model.HIC_ASM_2.2983	2	evm.model.HIC_ASM_8.3533	4
OG0017181	114231at71240.faa	evm.model.HIC_ASM_8.1787	2	evm.model.HIC_ASM_5.1970	2
OG0011895	114244at71240.faa	evm.model.HIC_ASM_4.1656	8	evm.model.HIC_ASM_2.3721	10
OG0009280	114245at71240.faa	evm.model.HIC_ASM_6.2365	6	evm.model.HIC_ASM_7.2769	4
OG0006657	114246at71240.faa	evm.model.HIC_ASM_8.34.2	0	evm.model.HIC_ASM_5.39	2
OG0008550	114383at71240.faa	evm.model.HIC_ASM_3.1194	0	evm.model.HIC_ASM_3.3653.2	4
OG0009612	114453at71240.faa	evm.model.HIC_ASM_7.3480	6	evm.model.HIC_ASM_4.5233	3
OG0016559	114579at71240.faa	evm.model.HIC_ASM_0.1993	5	evm.model.HIC_ASM_1.1239	7
OG0015416	115032at71240.faa	evm.model.HIC_ASM_0.4186	5	evm.model.HIC_ASM_1.3204	5
OG0015389	11508at71240.faa	evm.model.HIC_ASM_0.4251	19	evm.model.HIC_ASM_1.3284.4	20
OG0011143	115176at71240.faa	evm.model.HIC_ASM_4.890	3	evm.model.HIC_ASM_5.2623	2
OG0011475	115239at71240.faa	evm.model.HIC_ASM_4.41	1	evm.model.HIC_ASM_1.50	1
OG0008359	115322at71240.faa	evm.model.HIC_ASM_3.2206	3	evm.model.HIC_ASM_3.2542	1
OG0017606	11554at71240.faa	evm.model.HIC_ASM_8.2574	6	evm.model.HIC_ASM_8.2633	7
OG0013505	115665at71240.faa	evm.model.HIC_ASM_2.3157	5	evm.model.HIC_ASM_8.3655	5
OG0009939	115707at71240.faa	evm.model.HIC_ASM_7.2733	5	evm.model.HIC_ASM_4.4242.1	7
OG0008237	1158at71240.faa	evm.model.HIC_ASM_3.2735	36	evm.model.HIC_ASM_3.3101	46
OG0016663	115938at71240.faa	evm.model.HIC_ASM_0.1589	4	evm.model.HIC_ASM_8.2352	5
OG0015359	116032at71240.faa	evm.model.HIC_ASM_0.4355	1	evm.model.HIC_ASM_1.3299	4
OG0006765	11608at71240.faa	evm.model.HIC_ASM_8.340	2	evm.model.HIC_ASM_5.377	1
OG0007176	116155at71240.faa	evm.model.HIC_ASM_5.1308	2	evm.model.HIC_ASM_6.2668	3
OG0014956	116194at71240.faa	evm.model.HIC_ASM_0.5253	2	evm.model.HIC_ASM_1.4425	2
OG0009011	1162at71240.faa	evm.model.HIC_ASM_6.853	17	evm.model.HIC_ASM_7.1279	22
OG0014076	116334at71240.faa	evm.model.HIC_ASM_9.1506	1	evm.model.HIC_ASM_0.2369	2
OG0010594	116578at71240.faa	evm.model.HIC_ASM_7.110	3	evm.model.HIC_ASM_0.5973	4
OG0014778	116738at71240.faa	evm.model.HIC_ASM_9.3218.3	0	evm.model.HIC_ASM_4.11	1
OG0007034	116773at71240.faa	evm.model.HIC_ASM_8.1067	2	evm.model.HIC_ASM_5.1167	3
OG0009159	116883at71240.faa	evm.model.HIC_ASM_6.1611	4	evm.model.HIC_ASM_7.2102	4
OG0011971	117014at71240.faa	evm.model.HIC_ASM_4.1914.6	0	evm.model.HIC_ASM_2.3432	6
OG0017656	11706at71240.faa	evm.model.HIC_ASM_5.1765	8	evm.model.HIC_ASM_6.2311	10
OG0010997	117248at71240.faa	evm.model.HIC_ASM_4.1225	4	evm.model.HIC_ASM_5.3332	4
OG0009295	117250at71240.faa	evm.model.HIC_ASM_6.2412	2	evm.model.HIC_ASM_7.2836	1
OG0013491	11735at71240.faa	evm.model.HIC_ASM_2.3238	1	evm.model.HIC_ASM_8.3709	2
OG0013739	11764at71240.faa	evm.model.HIC_ASM_8.2949	13	evm.model.HIC_ASM_8.2888	10
OG0008566	11772at71240.faa	evm.model.HIC_ASM_3.1168	9	evm.model.HIC_ASM_3.3712	9
OG0008242	11773at71240.faa	evm.model.FRAGSCAFF_SCAFFOLD_49_2.13	15	evm.model.HIC_ASM_3.3223	25
OG0006963	117781at71240.faa	evm.model.HIC_ASM_8.916	0	evm.model.HIC_ASM_5.978	1
OG0007194	117803at71240.faa	evm.model.HIC_ASM_5.1357	3	evm.model.HIC_ASM_6.2645	4
OG0014880	117860at71240.faa	evm.model.HIC_ASM_0.5491	1	evm.model.HIC_ASM_1.4640	2
OG0015746	117864at71240.faa	evm.model.HIC_ASM_1.217	3	evm.model.HIC_ASM_0.4087.2	5
OG0007457	117879at71240.faa	evm.model.HIC_ASM_5.2872	5	evm.model.HIC_ASM_6.1343	5
OG0013042	117922at71240.faa	evm.model.HIC_ASM_2.4480	5	evm.model.HIC_ASM_8.4810	4
OG0010677	118088at71240.faa	evm.model.HIC_ASM_8.3092	4	evm.model.HIC_ASM_5.5025.1	1
OG0006870	118154at71240.faa	evm.model.HIC_ASM_8.636	3	evm.model.HIC_ASM_5.695	3
OG0015154	118186at71240.faa	evm.model.HIC_ASM_0.4814	6	evm.model.HIC_ASM_1.3957	7
OG0014816	118190at71240.faa	evm.model.HIC_ASM_0.5612	4	evm.model.HIC_ASM_1.4775	4
OG0010108	118248at71240.faa	evm.model.HIC_ASM_7.2175	0	evm.model.HIC_ASM_4.2254	0
OG0014146	118301at71240.faa	evm.model.HIC_ASM_9.1715	2	evm.model.HIC_ASM_0.2063	3
OG0014581	118451at71240.faa	evm.model.HIC_ASM_9.2732	1	evm.model.HIC_ASM_4.626	3
OG0014842	118488at71240.faa	evm.model.HIC_ASM_0.5561	1	evm.model.HIC_ASM_1.4721	1
OG0017023	1185at71240.faa	evm.model.HIC_ASM_0.384	15	evm.model.HIC_ASM_8.552.1	21
OG0010432	118630at71240.faa	evm.model.HIC_ASM_7.655	5	evm.model.HIC_ASM_0.5554	4
OG0009100	118771at71240.faa	evm.model.HIC_ASM_6.1343	5	evm.model.HIC_ASM_7.1760	7
OG0010425	118773at71240.faa	evm.model.HIC_ASM_7.669	0	evm.model.HIC_ASM_0.5537	0
OG0014038	118793at71240.faa	evm.model.HIC_ASM_0.972	3	evm.model.HIC_ASM_8.1481	0
OG0008168	118885at71240.faa	evm.model.HIC_ASM_3.3100	5	evm.model.HIC_ASM_3.1437	5
OG0007538	119048at71240.faa	evm.model.HIC_ASM_5.3118	3	evm.model.HIC_ASM_6.1116	3
OG0009160	119251at71240.faa	evm.model.HIC_ASM_6.1612	1	evm.model.HIC_ASM_7.2103	3
OG0009097	119339at71240.faa	evm.model.HIC_ASM_6.1339	6	evm.model.HIC_ASM_7.1756	6
OG0016304	119731at71240.faa	evm.model.HIC_ASM_1.2681	2	evm.model.HIC_ASM_0.3544	1
OG0010077	119821at71240.faa	evm.model.HIC_ASM_7.2300	2	evm.model.HIC_ASM_4.3665	2
OG0016325	119845at71240.faa	evm.model.HIC_ASM_1.2497	1	evm.model.HIC_ASM_0.3618	0
OG0007306	119963at71240.faa	evm.model.HIC_ASM_5.2297	3	evm.model.HIC_ASM_6.2020	3
OG0007402	120281at71240.faa	evm.model.HIC_ASM_5.2680	2	evm.model.HIC_ASM_6.1524	3
OG0007180	120398at71240.faa	evm.model.HIC_ASM_5.1314	0	evm.model.HIC_ASM_6.2663	3
OG0006842	120543at71240.faa	evm.model.HIC_ASM_8.587.1	3	evm.model.HIC_ASM_5.640	1
OG0009873	120821at71240.faa	evm.model.HIC_ASM_7.2906	0	evm.model.HIC_ASM_4.4469	2
OG0015727	120837at71240.faa	evm.model.HIC_ASM_1.159	3	evm.model.HIC_ASM_0.4037	3
OG0010263	120938at71240.faa	evm.model.HIC_ASM_5.4165.5	1	evm.model.HIC_ASM_4.3185.1	0
OG0010211	121242at71240.faa	evm.model.HIC_ASM_7.1867	7	evm.model.HIC_ASM_4.2960	6
OG0008992	1212at71240.faa	evm.model.HIC_ASM_6.731	29	evm.model.HIC_ASM_7.1021.1	27
OG0015083	121346at71240.faa	evm.model.HIC_ASM_0.4972	0	evm.model.HIC_ASM_1.4140	0
OG0013341	121392at71240.faa	evm.model.HIC_ASM_2.3656	5	evm.model.HIC_ASM_8.4051	7
OG0012122	121526at71240.faa	evm.model.HIC_ASM_4.2530	4	evm.model.HIC_ASM_2.2766	7
OG0008397	121733at71240.faa	evm.model.HIC_ASM_3.1880	1	evm.model.HIC_ASM_3.2336	2
OG0007117	121792at71240.faa	evm.model.HIC_ASM_5.1075	3	evm.model.HIC_ASM_6.3200.1	0
OG0007215	121795at71240.faa	evm.model.HIC_ASM_5.1685	0	evm.model.HIC_ASM_6.2491	0
OG0015747	122159at71240.faa	evm.model.HIC_ASM_1.221	0	evm.model.HIC_ASM_0.4089	5
OG0013786	122333at71240.faa	evm.model.HIC_ASM_9.47	0	evm.model.HIC_ASM_0.49.1	0
OG0012015	122588at71240.faa	evm.model.HIC_ASM_4.2067	1	evm.model.HIC_ASM_2.3274	1
OG0010032	12263at71240.faa	evm.model.HIC_ASM_7.2442	1	evm.model.HIC_ASM_4.3864	4
OG0012040	122841at71240.faa	evm.model.HIC_ASM_4.2449	0	evm.model.HIC_ASM_2.3139	1
OG0010634	122852at71240.faa	evm.model.HIC_ASM_7.6	0	evm.model.HIC_ASM_0.6076	1
OG0009149	122888at71240.faa	evm.model.HIC_ASM_6.1553	0	evm.model.HIC_ASM_7.2040	3
OG0008224	122905at71240.faa	evm.model.HIC_ASM_3.2844	0	evm.model.HIC_ASM_3.3589	0
OG0011638	123024at71240.faa	evm.model.HIC_ASM_2.406	9	evm.model.HIC_ASM_2.4430	11
OG0013554	123080at71240.faa	evm.model.HIC_ASM_2.3017	4	evm.model.HIC_ASM_8.3554	3
OG0007241	123100at71240.faa	evm.model.HIC_ASM_5.1729	10	evm.model.HIC_ASM_6.2339	11
OG0008952	123157at71240.faa	evm.model.HIC_ASM_6.514	2	evm.model.HIC_ASM_7.813	3
OG0010276	12329at71240.faa	evm.model.HIC_ASM_7.1425	9	evm.model.HIC_ASM_4.3701	12
OG0007451	12336at71240.faa	evm.model.HIC_ASM_5.2840	0	evm.model.HIC_ASM_6.1363	4
OG0009744	123457at71240.faa	evm.model.HIC_ASM_7.3174	0	evm.model.HIC_ASM_4.4807	0
OG0013466	123460at71240.faa	evm.model.HIC_ASM_3.544	4	evm.model.HIC_ASM_0.4714	0
OG0011637	123564at71240.faa	evm.model.HIC_ASM_2.404	2	evm.model.HIC_ASM_2.4433	3
OG0013634	123627at71240.faa	evm.model.HIC_ASM_8.2983	0	evm.model.HIC_ASM_8.2966.1	0
OG0009798	123706at71240.faa	evm.model.HIC_ASM_7.3065	0	evm.model.HIC_ASM_4.4653	1
OG0014390	123947at71240.faa	evm.model.HIC_ASM_9.2308	3	evm.model.HIC_ASM_0.1032	2
OG0011292	124052at71240.faa	evm.model.HIC_ASM_4.489	3	evm.model.HIC_ASM_1.655	4
